College_Name,Course,City,State,University,Average_Fees,Rating,NIRF_Rank,Institute_Type,NBA_Accreditation,NAAC_Accreditation,Website
Geethanjali Institute of Science and Technology,MECHANICAL ENGINEERING,Gangavaram,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",160444.44444444444,0,,Private,No,No,www.gist.edu.in
Aditya College of Engineering,MECHANICAL ENGINEERING,Surampalem,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150500.0,2.72,,Private,No,No,www.acem.ac.in
RISE Krishna Sai Prakasam Group of Institutions,MECHANICAL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",118214.28571428572,0,,Private,No,No,www.risegroup.e du.in
Krishna Chaitanya Institute of Technology and Sciences,MECHANICAL ENGINEERING,Idupur,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",149000.0,0,,Private,No,No,www.kits- anna.com
Vindhya Institute of Technology and Science,MECHANICAL ENGINEERING,Indore,Madhya Pradesh,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",130353.84615384616,0,,Private,No,No,www.bvcits.ac.in
Ramireddy Subbarami Reddy Engineering College,MECHANICAL ENGINEERING,Kadanuthala,Andhra Pradesh,"Jawaharlal Nehru Technological University, Anantapur",153166.66666666666,0,,Private,No,No,www.rsrec.in
Gayatri Vidya Parishad College for Degree and PG Courses,MECHANICAL ENGINEERING,Visakhapatnam,Andhra Pradesh,"Andhra University, Visakhapatnam",201666.66666666663,0,,Private,No,No,www.gvpcdpgc.e du.in/
Chalapathi Institute of Engineering and Technology,MECHANICAL ENGINEERING,Guntur,Andhra Pradesh,"Acharya Nagarjuna University, Guntur",190000.0,0,,Private,No,No,"www.chalapathie
 ngg.a"
Sri Vasavi Engineering College,MECHANICAL ENGINEERING,West Godavari,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",151764.70588235295,3.18,,Private,No,No,www.srivasavien gg.ac
PACE Institute of Technology and Sciences,MECHANICAL ENGINEERING,Valluru,Andhra Pradesh,"Jawaharlal Nehru Technological University, Kakinada",150812.5,0,,Private,No,No,www.pace.ac.in
